"","postId","time_diff_experiment","condition","vis","bonus","age","gender","education","p","prob1","prob2","x1","x2","lotterychoice","ev","ce","rrp","error","lnerror","exact","ev_perceived","rrp_perceived"
"75","jtk6fhyp",1161669,"none",0,6.255,32,"Male","College",0.95,0.95,0.05,20,0,"4b",19,15,0.210526315789474,1,0,1,19,0.210526315789474
"126","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.9,0.5,0.5,20,10,"19b",19,10.5,0.447368421052632,0.555555555555556,-0.587786664902119,0,15,0.3
"127","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.25,0.5,0.5,20,0,"10a",5,10,-1,2,0.693147180559945,0,10,0
"128","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.95,0.5,0.5,50,20,"16b",48.5,25.25,0.479381443298969,0.526315789473684,-0.641853886172395,0,35,0.278571428571429
"129","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.75,0.5,0.5,50,20,"11b",42.5,32.75,0.229411764705882,0.666666666666667,-0.405465108108164,0,35,0.0642857142857143
"130","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.25,0.5,0.5,50,20,"12b",27.5,31.25,-0.136363636363636,2,0.693147180559945,0,35,0.107142857142857
"131","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.5,0.5,0.5,40,10,"13b",25,19.75,0.21,1,0,1,25,0.21
"132","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.5,0.5,0.5,10,0,"0a",5,10,-1,1,0,1,5,-1
"133","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.95,0.5,0.5,40,10,"10b",38.5,24.25,0.37012987012987,0.526315789473684,-0.641853886172395,0,25,0.03
"134","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.5,0.5,0.5,150,0,"6b",75,101.25,-0.35,1,0,1,75,-0.35
"135","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.75,0.5,0.5,20,0,"5b",15,14,0.0666666666666667,0.666666666666667,-0.405465108108164,0,10,-0.4
"136","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.05,0.5,0.5,150,50,"13b",55,82,-0.490909090909091,10,2.30258509299405,0,100,0.18
"137","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.05,0.5,0.5,50,20,"13b",21.5,29.75,-0.383720930232558,10,2.30258509299405,0,35,0.15
"138","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.95,0.5,0.5,20,0,"10b",19,9,0.526315789473684,0.526315789473684,-0.641853886172395,0,10,0.1
"139","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.9,0.5,0.5,50,0,"8b",45,28.75,0.361111111111111,0.555555555555556,-0.587786664902119,0,25,-0.15
"140","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.1,0.5,0.5,20,10,"0b",11,19.75,-0.795454545454545,5,1.6094379124341,0,15,-0.316666666666667
"141","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.75,0.49,0.51,40,10,"7b",32.5,28.75,0.115384615384615,0.653333333333333,-0.425667815425684,0,24.7,-0.163967611336032
"142","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.5,0.15,0.85,50,20,"10b",35,34.25,0.0214285714285714,0.3,-1.20397280432594,0,24.5,-0.397959183673469
"143","jtk9hzx5",599342,"bar",5,7.705,31,"Male","Graduate school",0.5,0.6,0.4,50,0,"4b",25,38.75,-0.55,1.2,0.182321556793955,0,30,-0.291666666666667
