postId,time_diff_experiment,condition,vis,bonus,age,gender,education,p,prob1,prob2,x1,x2,lotterychoice,ev,ce,rrp,error,lnerror,exact,ev_perceived,rrp_perceived
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.5,0.5,0.5,150.0,0.0,10b,75.0,71.25,0.05,1.0,0.0,1,75.0,0.05
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.95,0.95,0.05,40.0,10.0,1b,38.5,37.75,0.01948051948051948,1.0,0.0,1,38.5,0.01948051948051948
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.75,0.75,0.25,20.0,0.0,6a,15.0,14,0.06666666666666667,1.0,0.0,1,15.0,0.06666666666666667
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.1,0.1,0.9,20.0,10.0,15b,11.0,12.25,-0.11363636363636363,1.0,0.0,1,11.0,-0.11363636363636363
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.05,0.1,0.9,50.0,20.0,14b,21.5,28.25,-0.313953488372093,2.0,0.6931471805599453,0,23.0,-0.22826086956521738
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.5,0.5,0.5,20.0,10.0,9b,15.0,15.25,-0.016666666666666666,1.0,0.0,1,15.0,-0.016666666666666666
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.5,0.5,0.5,10.0,0.0,10b,5.0,4.75,0.05,1.0,0.0,1,5.0,0.05
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.75,0.75,0.25,40.0,10.0,3a,32.5,36.25,-0.11538461538461539,1.0,0.0,1,32.5,-0.11538461538461539
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.5,0.5,0.5,50.0,0.0,10a,25.0,26.25,-0.05,1.0,0.0,1,25.0,-0.05
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.5,0.5,0.5,50.0,20.0,10a,35.0,35.75,-0.02142857142857143,1.0,0.0,1,35.0,-0.02142857142857143
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.9,0.85,0.15,50.0,0.0,3a,45.0,43.75,0.027777777777777776,0.9444444444444444,-0.05715841383994864,0,42.5,-0.029411764705882353
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.1,0.15,0.85,50.0,0.0,16b,5.0,8.75,-0.75,1.4999999999999998,0.4054651081081642,0,7.5,-0.16666666666666666
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.75,0.75,0.25,50.0,20.0,2a,42.5,47.75,-0.12352941176470589,1.0,0.0,1,42.5,-0.12352941176470589
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.9,0.9,0.1,20.0,10.0,2a,19.0,19.25,-0.013157894736842105,1.0,0.0,1,19.0,-0.013157894736842105
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.95,0.95,0.05,50.0,20.0,1a,48.5,49.25,-0.015463917525773196,1.0,0.0,1,48.5,-0.015463917525773196
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.05,0.1,0.9,40.0,10.0,17a,11.5,15.25,-0.32608695652173914,2.0,0.6931471805599453,0,13.0,-0.17307692307692307
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.05,0.1,0.9,20.0,0.0,18a,1.0,2,-1.0,2.0,0.6931471805599453,0,2.0,0.0
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.05,0.1,0.9,150.0,50.0,16a,55.0,72,-0.3090909090909091,2.0,0.6931471805599453,0,60.0,-0.2
jtkbjwmk,445744,pie,2,6.59,27,Male,College,0.25,0.25,0.75,20.0,0.0,14a,5.0,6,-0.2,1.0,0.0,1,5.0,-0.2
jtk9hzx5,599342,bar,5,7.705,31,Male,Graduate school,0.9,0.5,0.5,20.0,10.0,19b,19.0,10.5,0.4473684210526316,0.5555555555555556,-0.587786664902119,0,15.0,0.3
