"","postId","time_diff_experiment","condition","vis","bonus","age","gender","education","p","prob1","prob2","x1","x2","lotterychoice","ev","ce","rrp","error","lnerror","exact","ev_perceived","rrp_perceived","abs_error","abs_rrp"
"91","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.5,0.7,0.3,50,20,"13b",35,29.75,0.15,0.2,0.336472236621213,0,41,0.274390243902439,0.2,0.15
"92","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.25,0.35,0.65,20,0,"13b",5,6,-0.2,0.1,0.336472236621213,0,7,0.142857142857143,0.1,0.2
"93","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.75,0.87,0.13,50,20,"8b",42.5,37.25,0.123529411764706,0.12,0.148420005118273,0,46.1,0.191973969631236,0.12,0.123529411764706
"94","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.5,0.55,0.45,40,10,"16b",25,15.25,0.39,0.05,0.0953101798043249,0,26.5,0.424528301886792,0.05,0.39
"95","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.95,0.95,0.05,50,20,"1b",48.5,47.75,0.0154639175257732,0,0,1,48.5,0.0154639175257732,0,0.0154639175257732
"96","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.9,0.93,0.07,10,0,"2b",9,8.75,0.0277777777777778,0.03,0.032789822822991,0,9.3,0.0591397849462366,0.03,0.0277777777777778
"97","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.05,0.1,0.9,40,10,"16b",11.5,15.25,-0.326086956521739,0.05,0.693147180559945,0,13,-0.173076923076923,0.05,0.326086956521739
"98","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.75,0.8,0.2,40,10,"8b",32.5,27.25,0.161538461538462,0.05,0.0645385211375712,0,34,0.198529411764706,0.05,0.161538461538462
"99","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.1,0.15,0.85,20,10,"16b",11,11.75,-0.0681818181818182,0.05,0.405465108108164,0,11.5,-0.0217391304347826,0.05,0.0681818181818182
"100","jtkbtw89",1023950,"circle",3,7.125,32,"Female","College",0.75,0.85,0.15,20,0,"4a",15,16,-0.0666666666666667,0.1,0.125163142954006,0,17,0.0588235294117647,0.1,0.0666666666666667
"101","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.1,0.1,0.9,10,0,"14a",1,3.25,-2.25,0,0,1,1,-2.25,0,2.25
"102","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.95,0.95,0.05,20,0,"2a",19,18,0.0526315789473684,0,0,1,19,0.0526315789473684,0,0.0526315789473684
"103","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.25,0.25,0.75,40,10,"7a",17.5,30.25,-0.728571428571429,0,0,1,17.5,-0.728571428571429,0,0.728571428571429
"104","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.25,0.25,0.75,50,20,"10a",27.5,35.75,-0.3,0,0,1,27.5,-0.3,0,0.3
"105","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.5,0.5,0.5,40,10,"13a",25,21.25,0.15,0,0,1,25,0.15,0,0.15
"106","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.9,0.9,0.1,10,0,"2a",9,9.25,-0.0277777777777778,0,0,1,9,-0.0277777777777778,0,0.0277777777777778
"107","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.5,0.5,0.5,150,0,"10b",75,71.25,0.05,0,0,1,75,0.05,0,0.05
"108","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.95,0.95,0.05,40,10,"1b",38.5,37.75,0.0194805194805195,0,0,1,38.5,0.0194805194805195,0,0.0194805194805195
"109","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.75,0.75,0.25,20,0,"6a",15,14,0.0666666666666667,0,0,1,15,0.0666666666666667,0,0.0666666666666667
"110","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.1,0.1,0.9,20,10,"15b",11,12.25,-0.113636363636364,0,0,1,11,-0.113636363636364,0,0.113636363636364
"111","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.05,0.1,0.9,50,20,"14b",21.5,28.25,-0.313953488372093,0.05,0.693147180559945,0,23,-0.228260869565217,0.05,0.313953488372093
"112","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.5,0.5,0.5,20,10,"9b",15,15.25,-0.0166666666666667,0,0,1,15,-0.0166666666666667,0,0.0166666666666667
"113","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.5,0.5,0.5,10,0,"10b",5,4.75,0.05,0,0,1,5,0.05,0,0.05
"114","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.75,0.75,0.25,40,10,"3a",32.5,36.25,-0.115384615384615,0,0,1,32.5,-0.115384615384615,0,0.115384615384615
"115","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.5,0.5,0.5,50,0,"10a",25,26.25,-0.05,0,0,1,25,-0.05,0,0.05
"116","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.5,0.5,0.5,50,20,"10a",35,35.75,-0.0214285714285714,0,0,1,35,-0.0214285714285714,0,0.0214285714285714
"117","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.9,0.85,0.15,50,0,"3a",45,43.75,0.0277777777777778,-0.05,-0.0571584138399486,0,42.5,-0.0294117647058824,0.05,0.0277777777777778
"118","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.1,0.15,0.85,50,0,"16b",5,8.75,-0.75,0.05,0.405465108108164,0,7.5,-0.166666666666667,0.05,0.75
"119","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.75,0.75,0.25,50,20,"2a",42.5,47.75,-0.123529411764706,0,0,1,42.5,-0.123529411764706,0,0.123529411764706
"120","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.9,0.9,0.1,20,10,"2a",19,19.25,-0.0131578947368421,0,0,1,19,-0.0131578947368421,0,0.0131578947368421
"121","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.95,0.95,0.05,50,20,"1a",48.5,49.25,-0.0154639175257732,0,0,1,48.5,-0.0154639175257732,0,0.0154639175257732
"122","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.05,0.1,0.9,40,10,"17a",11.5,15.25,-0.326086956521739,0.05,0.693147180559945,0,13,-0.173076923076923,0.05,0.326086956521739
"123","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.05,0.1,0.9,20,0,"18a",1,2,-1,0.05,0.693147180559945,0,2,0,0.05,1
"124","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.05,0.1,0.9,150,50,"16a",55,72,-0.309090909090909,0.05,0.693147180559945,0,60,-0.2,0.05,0.309090909090909
"125","jtkbjwmk",445744,"pie",2,6.59,27,"Male","College",0.25,0.25,0.75,20,0,"14a",5,6,-0.2,0,0,1,5,-0.2,0,0.2
"151","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.9,0.5,0.5,10,0,"11a",9,4.75,0.472222222222222,-0.4,-0.587786664902119,0,5,0.05,0.4,0.472222222222222
"152","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.95,0.49,0.51,40,10,"14a",38.5,19.75,0.487012987012987,-0.46,-0.662056593489914,0,24.7,0.200404858299595,0.46,0.487012987012987
"153","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.05,0.4,0.6,150,50,"11a",55,97,-0.763636363636364,0.35,2.07944154167984,0,90,-0.0777777777777778,0.35,0.763636363636364
"154","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.05,0.49,0.51,50,20,"14a",21.5,29.75,-0.383720930232558,0.44,2.28238238567653,0,34.7,0.142651296829971,0.44,0.383720930232558
"155","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.9,0.49,0.51,50,0,"13a",45,18.75,0.583333333333333,-0.41,-0.607989372219639,0,24.5,0.23469387755102,0.41,0.583333333333333
"156","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.75,0.5,0.5,20,0,"15a",15,5,0.666666666666667,-0.25,-0.405465108108164,0,10,0.5,0.25,0.666666666666667
"157","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.25,0.5,0.5,20,0,"15a",5,5,0,0.25,0.693147180559945,0,10,0.5,0.25,0
"158","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.1,0.5,0.5,10,0,"11a",1,4.75,-3.75,0.4,1.6094379124341,0,5,0.05,0.4,3.75
"159","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.05,0.5,0.5,20,0,"11a",1,9,-8,0.45,2.30258509299405,0,10,0.1,0.45,8
"160","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.5,0.46,0.54,150,0,"7a",75,101.25,-0.35,-0.04,-0.083381608939051,0,69,-0.467391304347826,0.04,0.35
"161","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.5,0.48,0.52,50,0,"13a",25,18.75,0.25,-0.02,-0.0408219945202552,0,24,0.21875,0.02,0.25
"162","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.1,0.47,0.53,50,0,"7a",5,33.75,-5.75,0.37,1.54756250871601,0,23.5,-0.436170212765957,0.37,5.75
"163","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.25,0.5,0.5,50,20,"11a",27.5,34.25,-0.245454545454545,0.25,0.693147180559945,0,35,0.0214285714285714,0.25,0.245454545454545
"164","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.95,0.49,0.51,50,20,"14a",48.5,29.75,0.38659793814433,-0.46,-0.662056593489914,0,34.7,0.142651296829971,0.46,0.38659793814433
"165","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.75,0.49,0.51,40,10,"14a",32.5,19.75,0.392307692307692,-0.26,-0.425667815425684,0,24.7,0.200404858299595,0.26,0.392307692307692
"166","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.5,0.5,0.5,10,0,"11a",5,4.75,0.05,0,0,1,5,0.05,0,0.05
"167","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.5,0.49,0.51,40,10,"11a",25,24.25,0.03,-0.01,-0.0202027073175195,0,24.7,0.0182186234817815,0.01,0.03
"168","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.75,0.5,0.5,50,20,"14a",42.5,29.75,0.3,-0.25,-0.405465108108164,0,35,0.15,0.25,0.3
"169","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.5,0.5,0.5,20,10,"14a",15,13.25,0.116666666666667,0,0,1,15,0.116666666666667,0,0.116666666666667
"170","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.95,0.5,0.5,20,0,"12a",19,8,0.578947368421053,-0.45,-0.641853886172395,0,10,0.2,0.45,0.578947368421053
"171","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.1,0.5,0.5,20,10,"13a",11,13.75,-0.25,0.4,1.6094379124341,0,15,0.0833333333333333,0.4,0.25
"172","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.05,0.49,0.51,40,10,"14a",11.5,19.75,-0.717391304347826,0.44,2.28238238567653,0,24.7,0.200404858299595,0.44,0.717391304347826
"173","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.5,0.47,0.53,50,20,"14a",35,29.75,0.15,-0.03,-0.0618754037180875,0,34.1,0.127565982404692,0.03,0.15
"174","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.9,0.5,0.5,20,10,"13a",19,13.75,0.276315789473684,-0.4,-0.587786664902119,0,15,0.0833333333333333,0.4,0.276315789473684
"175","jtkboyt1",464752,"circle",3,8,58,"Male","College",0.25,0.48,0.52,40,10,"11a",17.5,24.25,-0.385714285714286,0.23,0.65232518603969,0,24.4,0.0061475409836065,0.23,0.385714285714286
"176","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.5,0.4,0.6,20,10,"14b",15,12.75,0.15,-0.1,-0.22314355131421,0,14,0.0892857142857143,0.1,0.15
"177","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.05,0.2,0.8,150,50,"9a",55,107,-0.945454545454545,0.15,1.38629436111989,0,70,-0.528571428571429,0.15,0.945454545454545
"178","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.9,0.8,0.2,50,0,"8b",45,28.75,0.361111111111111,-0.1,-0.117783035656383,0,40,0.28125,0.1,0.361111111111111
"179","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.5,0.55,0.45,40,10,"8b",25,27.25,-0.09,0.05,0.0953101798043249,0,26.5,-0.0283018867924528,0.05,0.09
"180","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.75,0.7,0.3,20,0,"6b",15,13,0.133333333333333,-0.05,-0.0689928714869516,0,14,0.0714285714285714,0.05,0.133333333333333
"181","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.95,0.8,0.2,20,0,"8b",19,11,0.421052631578947,-0.15,-0.171850256926659,0,16,0.3125,0.15,0.421052631578947
"182","jtkbwrf4",1145061,"bar",5,9.005,28,"Female","Ph.D",0.25,0.2,0.8,50,20,"7b",27.5,38.75,-0.409090909090909,-0.05,-0.22314355131421,0,26,-0.490384615384615,0.05,0.409090909090909
